cid,Molecular_weight,LogP,abonds,dbonds,nF,sbonds,tbonds,Ncharges,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,MolarRefractivity,Number_of_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,C,H,N,O,S,Cl,F,P,I,Br,B,RNH2,R2NH,R3N,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC
5591,441.548992,9.4976,12,2,0,47,0,0,34,7,2,2,0,0,0,0.147058824,34,2,148.1966,58,61,0,0,110.16,13.86165033,0.966975455,13.33505914,24.1349481,9.70011534,313,332,24,27,1,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,4,2
216326,259.2649947,3.578,6,3,0,25,0,0,19,6,2,1,0,0,0,0.047619048,21,2,76.1231,32,34,0,0,92.5,11.01350591,1.010455151,9.899549471,13.95918367,5.413111342,175,200,13,13,3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,1
5092,275.347994,7.3286,6,1,0,36,0,0,25,4,1,1,0,0,0,0.181818182,22,1,96.6976,41,43,0,0,47.56,10.61730654,1.012582733,9.485371906,14.91735537,6.84,225,242,16,21,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,1
2828334,259.3339969,4.5782,10,2,0,21,0,0,17,4,2,2,0,0,0,0.1,20,2,83.1802,31,33,0,0,80.22,10.01378472,1.010065762,8.913992826,13.005,5.174791914,167,187,13,13,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,2
1345,352.8649923,9.059,17,1,0,30,0,0,24,3,0,0,0,0,0,0.185185185,27,1,126.7045,46,48,0,0,33.2,11.34476648,1.059546917,9.707186533,19.75308642,8.792243767,239,252,21,21,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3
60490,236.2959971,5.3483,10,1,0,18,0,0,15,5,2,1,1,0,0,0.176470588,17,1,75.728,28,29,0,0,97.63,9.378578625,0.969114975,8.677467447,12.4567474,5.104166667,140,151,11,12,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
219104,188.3210006,5.1477,5,0,0,18,0,0,15,3,1,1,0,0,0,0.363636364,11,1,64.9104,23,23,0,0,79.28,9.468022514,1.007035468,8.40187592,9.090909091,4.792899408,112,105,7,12,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
44632017,366.1999913,5.3412,12,2,0,25,0,0,18,5,2,2,0,1,0,0.153846154,26,1,101.6639,37,39,0,0,75.63,9.271933764,0.978284051,8.477752143,18.78106509,7.318869165,195,221,17,13,1,4,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,3,2
151289,303.3649937,6.6984,16,1,0,27,0,0,20,3,1,1,0,0,0,0,27,3,103.2763,40,44,0,0,39.34,11.95730611,1.015581547,10.77385129,15.2702332,5.771564545,227,262,19,17,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,3
2719,319.8799937,10.2011,11,0,0,38,0,0,28,2,2,2,0,0,1,0.347826087,23,1,126.0561,48,49,0,0,29.36,11.54276619,1.01660013,10.35428361,18.34026465,9.333333333,248,249,18,26,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2
5426,258.2329943,2.237,6,4,0,21,0,0,16,6,1,1,0,0,0,0.047619048,21,2,69.1578,29,31,0,0,83.55,10.80382898,1.012117465,9.674481331,13.95918367,5.413111342,160,188,13,10,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2
77999,357.4349946,7.1891,12,2,0,32,0,0,26,7,1,1,0,0,0,0.259259259,27,2,115.4876,44,46,0,0,96.83,13.05869059,1.0031959,12.01708927,19.75308642,9.796296296,229,243,18,19,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,2
374536,292.3809972,4.9486,15,0,0,18,0,0,14,5,2,2,0,2,0,0.19047619,21,3,90.9496,31,33,0,0,110.08,12.20174572,0.972296696,11.54940573,13.95918367,6.18549346,160,175,14,12,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,3
9840076,320.3959937,7.176,16,1,0,30,0,0,23,4,2,2,0,0,1,0.111111111,27,2,114.8728,44,47,0,0,51.36,13.56943041,1.015154589,12.36686113,17.41563786,7.318869165,238,256,19,20,4,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,3
23725625,434.4709905,7.4392,17,3,1,39,0,0,29,6,1,1,0,0,0,0.166666667,36,2,137.1593,55,59,0,0,86.37,14.5511879,1.015280895,13.33217938,23.72839506,10.31804734,307,350,24,23,4,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,3
26596,247.2979952,6.327,10,1,0,25,0,0,21,4,2,2,0,0,0,0.315789474,19,1,89.0478,35,36,0,0,67.01,10.53391098,1.00842029,9.445953017,14.4099723,6.9632,179,179,13,17,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,2
11249248,510.940989,10.5339,18,3,3,36,0,0,24,5,0,1,1,0,0,0.25,36,0,142.9915,54,56,0,2,85.89,13.04787557,0.995267253,12.10992151,28.56944444,12.49704142,287,320,24,21,1,4,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
25195294,406.4929922,8.8853,27,0,0,31,0,0,26,5,1,0,0,0,1,0.083333333,36,4,142.3715,53,58,0,0,62.93,17.8111999,1.020899428,16.44657643,21.52777778,9.70011534,292,332,25,22,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,5
4201,209.2529968,4.0466,6,1,0,24,0,0,20,6,3,2,0,0,0,0.0625,16,2,69.4918,30,31,0,0,91.16,9.368034207,0.975145897,8.606802666,11.484375,4.888429752,155,166,9,15,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
1645,136.1539974,2.998,6,1,0,11,0,0,11,3,2,0,0,0,0,0.1,10,0,47.0201,18,18,0,0,69.11,7.353325396,1.009963684,6.280781984,8.1,3.408284024,82,84,7,8,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
11977753,469.5479902,9.22338,32,1,0,30,1,0,27,6,0,0,0,0,0,0.073170732,41,3,168.165,59,64,0,0,76.5,14.97317006,1.077214603,12.89989517,26.2343843,10.52549428,321,363,30,23,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6,6
