cid,Molecular_weight,LogP,abonds,dbonds,nF,sbonds,tbonds,Ncharges,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,MolarRefractivity,Number_of_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,C,H,N,O,S,Cl,F,P,I,Br,B,RNH2,R2NH,R3N,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC
5591,0.369478642,0.405343905,0.352941176,0.222222222,0,0.467391304,0,0,0.483333333,0.538461538,0.4,0.4,0,0,0,0.231092438,0.412698413,0.4,0.429865764,0.425925926,0.429824561,0,0,0.637426224,0.629921791,0.879342394,0.026297486,0.380643035,0.363230278,0.426666667,0.408194234,0.465116279,0.461538462,0.111111111,0.384615385,0.333333333,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0.571428571,0.333333333
216326,0.153877086,0.159089964,0.176470588,0.333333333,0,0.22826087,0,0,0.233333333,0.461538462,0.4,0.2,0,0,0,0.074829933,0.206349206,0.4,0.166353028,0.185185185,0.192982456,0,0,0.535238977,0.418792267,0.920707372,0.016275164,0.160892782,0.165202264,0.196666667,0.207890744,0.209302326,0.192307692,0.333333333,0.230769231,0,0,0,0,0,0,0,1,0.25,0.333333333,0,0,0,0,0,0,0,0,0.428571429,0.166666667
5092,0.172899708,0.315114025,0.176470588,0.111111111,0,0.347826087,0,0,0.333333333,0.307692308,0.2,0.2,0,0,0,0.285714286,0.222222222,0.2,0.241576832,0.268518519,0.271929825,0,0,0.27519963,0.389422484,0.922731475,0.015066894,0.181584935,0.231114012,0.28,0.271623672,0.279069767,0.346153846,0.111111111,0.230769231,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.428571429,0.166666667
2828334,0.1539587,0.200698044,0.294117647,0.222222222,0,0.184782609,0,0,0.2,0.307692308,0.4,0.4,0,0,0,0.157142857,0.19047619,0.4,0.192154963,0.175925926,0.184210526,0,0,0.464182386,0.344684136,0.920336922,0.013400025,0.140286753,0.154193661,0.183333333,0.188163885,0.209302326,0.192307692,0.333333333,0.076923077,0.333333333,0,0,0,0,0,0,0,0.5,0.333333333,0,0,0,0,0,0,0,0,0.428571429,0.333333333
1345,0.264585132,0.38709825,0.5,0.111111111,0,0.282608696,0,0,0.316666667,0.230769231,0,0,0,0,0,0.291005291,0.301587302,0.2,0.351287062,0.314814815,0.315789474,0,0,0.192107395,0.443348215,0.967411467,0.015713988,0.286014743,0.321293297,0.303333333,0.286798179,0.395348837,0.346153846,0.222222222,0.076923077,0,0.25,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.428571429,0.5
60490,0.126709854,0.232734019,0.294117647,0.111111111,0,0.152173913,0,0,0.166666667,0.384615385,0.4,0.2,0.25,0,0,0.277310924,0.142857143,0.2,0.164908477,0.148148148,0.149122807,0,0,0.564923041,0.297597072,0.881377854,0.012710016,0.128446989,0.150931295,0.138333333,0.13353566,0.162790698,0.173076923,0.222222222,0.153846154,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.333333333
219104,0.06996607,0.224389108,0.147058824,0,0,0.152173913,0,0,0.166666667,0.230769231,0.2,0.2,0,0,0,0.571428572,0.047619048,0.2,0.125357527,0.101851852,0.096491228,0,0,0.458743201,0.30422744,0.917454012,0.01190604,0.055760183,0.13655304,0.091666667,0.063732929,0.069767442,0.173076923,0.222222222,0,0.666666667,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.142857143,0.166666667
44632017,0.280357479,0.232438661,0.352941176,0.222222222,0,0.22826087,0,0,0.216666667,0.384615385,0.4,0.4,0,0.333333333,0,0.241758242,0.285714286,0.2,0.259734453,0.231481481,0.236842105,0,0,0.43762296,0.289691616,0.890100975,0.012127392,0.265023501,0.253234241,0.23,0.239757208,0.302325581,0.192307692,0.111111111,0.307692308,0,0.5,0,0,0,0,0,0,0.25,0,0.25,0,0.5,0,0,0.125,0,0,0.428571429,0.333333333
151289,0.206037608,0.288897856,0.470588235,0.111111111,0,0.25,0,0,0.25,0.230769231,0.2,0.2,0,0,0,0,0.301587302,0.6,0.265629656,0.259259259,0.280701754,0,0,0.22763569,0.488755042,0.925584436,0.018825741,0.189205492,0.181760162,0.283333333,0.301972686,0.348837209,0.269230769,0.333333333,0.076923077,0,0,0,0,0,0,0,0,0.25,0.666666667,0,0,0,0,0,0,0,0,0.714285714,0.5
2719,0.225571191,0.434609337,0.323529412,0,0,0.369565217,0,0,0.383333333,0.153846154,0.4,0.4,0,0,0.25,0.546583851,0.238095238,0.2,0.348916404,0.333333333,0.324561404,0,0,0.169887744,0.458025696,0.926553479,0.017601748,0.255504215,0.34628765,0.318333333,0.282245827,0.325581395,0.442307692,0.333333333,0,0,0.25,0,0,0,0,0,0,0.25,0.333333333,0,0,0,0,0,0,0,0,0.285714286,0.333333333
