,drug_row,drug_col,cell line,interaction
1,46926350,10127622,A375,ddi
2,42611257,10127622,A375,ddi
3,25195294,10127622,A375,ddi
4,24978538,10127622,A375,ddi
5,24964624,10127622,A375,ddi
6,24785538,10127622,A375,ddi
7,24775005,10127622,A375,ddi
8,23725625,10127622,A375,ddi
9,16736978,10127622,A375,ddi
10,16722836,10127622,A375,ddi
11,11977753,10127622,A375,ddi
12,11626560,10127622,A375,ddi
13,11228183,10127622,A375,ddi
14,10126189,10127622,A375,ddi
15,10077147,10127622,A375,ddi
16,9826528,10127622,A375,ddi
17,6450551,10127622,A375,ddi
18,5288382,10127622,A375,ddi
19,3062316,10127622,A375,ddi
20,644241,10127622,A375,ddi
21,444795,10127622,A375,ddi
22,387447,10127622,A375,ddi
23,374536,10127622,A375,ddi
24,216326,10127622,A375,ddi
25,208908,10127622,A375,ddi
26,159324,10127622,A375,ddi
27,123631,10127622,A375,ddi
28,60749,10127622,A375,ddi
29,60699,10127622,A375,ddi
30,36462,10127622,A375,ddi
31,5426,10127622,A375,ddi
32,5394,10127622,A375,ddi
33,5311,10127622,A375,ddi
34,3385,10127622,A375,ddi
35,2662,10127622,A375,ddi
36,2187,10127622,A375,ddi
37,46926350,11228183,A375,ddi
38,42611257,11228183,A375,ddi
39,24978538,11228183,A375,ddi
40,24964624,11228183,A375,ddi
41,11977753,11228183,A375,ddi
42,11455910,11228183,A375,ddi
43,10127622,11228183,A375,ddi
44,10126189,11228183,A375,ddi
45,9826528,11228183,A375,ddi
46,3062316,11228183,A375,ddi
47,2828334,11228183,A375,ddi
48,644241,11228183,A375,ddi
49,387447,11228183,A375,ddi
50,216326,11228183,A375,ddi
51,208908,11228183,A375,ddi
52,123631,11228183,A375,ddi
53,60749,11228183,A375,ddi
54,60699,11228183,A375,ddi
55,39562,11228183,A375,ddi
56,36462,11228183,A375,ddi
57,5426,11228183,A375,ddi
58,5394,11228183,A375,ddi
59,5311,11228183,A375,ddi
60,3385,11228183,A375,ddi
61,2719,11228183,A375,ddi
62,2708,11228183,A375,ddi
63,1673,11228183,A375,ddi
64,46926350,11364421,A375,ddi
65,24978538,11364421,A375,ddi
66,24775005,11364421,A375,ddi
67,24748204,11364421,A375,ddi
68,16722836,11364421,A375,ddi
69,11977753,11364421,A375,ddi
70,11626560,11364421,A375,ddi
71,11351021,11364421,A375,ddi
72,9826308,11364421,A375,ddi
73,5494449,11364421,A375,ddi
74,3062316,11364421,A375,ddi
75,387447,11364421,A375,ddi
76,123631,11364421,A375,ddi
77,5311,11364421,A375,ddi
78,42611257,11960529,A375,ddi
79,24978538,11960529,A375,ddi
80,24785538,11960529,A375,ddi
81,23725625,11960529,A375,ddi
82,11626560,11960529,A375,ddi
83,9840076,11960529,A375,ddi
84,2726824,11960529,A375,ddi
85,123631,11960529,A375,ddi
86,60749,11960529,A375,ddi
87,60699,11960529,A375,ddi
88,60198,11960529,A375,ddi
89,3902,11960529,A375,ddi
90,2187,11960529,A375,ddi
91,1673,11960529,A375,ddi
92,1645,11960529,A375,ddi
93,46926350,16722836,A375,ddi
94,11977753,16722836,A375,ddi
95,11364421,16722836,A375,ddi
96,10127622,16722836,A375,ddi
97,3062316,16722836,A375,ddi
98,644241,16722836,A375,ddi
99,216326,16722836,A375,ddi
100,5426,16722836,A375,ddi
101,2478,16722836,A375,ddi
102,42611257,208908,A375,ddi
103,24978538,208908,A375,ddi
104,24785538,208908,A375,ddi
105,24775005,208908,A375,ddi
106,23725625,208908,A375,ddi
107,15951529,208908,A375,ddi
108,15547703,208908,A375,ddi
109,11626560,208908,A375,ddi
110,11228183,208908,A375,ddi
111,10127622,208908,A375,ddi
112,10126189,208908,A375,ddi
113,6450551,208908,A375,ddi
114,5494449,208908,A375,ddi
115,644241,208908,A375,ddi
116,444795,208908,A375,ddi
117,216326,208908,A375,ddi
118,159324,208908,A375,ddi
119,123631,208908,A375,ddi
