,A375,A549,A673,HCT116,HS 578T,HT29,LNCAP,LOVO,MCF7,PC-3,RKO,SK-MEL-28,SW-620,VCAP
5720,-0.13221535,-0.094108295,0.03324088,0.27493628,-0.277491131,-0.070642764,-0.110196456,0.346478715,0.000220098,-0.178141729,0.23541661,0.987646754,0.34307819,0.043279681
55847,-0.06566203,-0.115080406,0.794785358,-0.20674338,-0.326754664,-0.138436261,-0.088150768,0.274014596,0.022080717,-0.172660215,-0.386811291,-0.341125842,0.039937067,0.060147766
25803,0.118579286,0.079304041,0.21334497,-0.640003889,-0.247166037,-0.061262826,-0.371178045,-0.30008423,-0.010722948,-0.07028082,-0.326596992,-0.476802371,-0.24607619,0.018978572
466,-0.121486675,-0.056669628,-0.048048719,0.239233492,-0.167086279,-0.122870989,0.486513564,0.404183578,-0.015495179,-0.198537098,0.390952282,0.43435136,-0.525437435,0.004732665
6009,-0.057556311,0.143004909,-0.646318504,-0.172660975,-0.354483089,-0.10025788,-0.314895686,0.169872594,0.106714209,-0.051217369,-0.667612074,0.203967728,0.079275385,-0.020967642
3480,-0.109783391,-0.200136418,0.291398589,-0.180307548,0.148015367,0.058591964,0.235204071,0.030549203,-0.176699772,-0.027835327,0.025419496,0.060307733,0.136584303,-0.019470712
2309,0.019451497,-0.105302252,-0.224102857,-0.09509879,-0.127355186,0.000508272,-0.10543047,0.028112611,-0.186846763,0.026764452,0.47034002,0.039109592,-0.168253844,-0.225256699
2946,-0.08981703,-0.141417336,-0.504536886,-0.514404251,-0.159368378,-0.115098848,0.069843942,-0.207790078,-0.051709778,-0.154920156,-0.24778335,0.054068224,-0.319739499,0.05630998
387,0.017230892,0.126597748,-0.4908968,0.39389631,-0.015774061,0.089458466,0.047870092,0.351589011,0.163320108,0.055811636,0.281710446,0.134905927,-0.086891162,0.057716704
3553,0.030353445,0.066807145,0.794508792,-0.547869268,-0.366124859,0.046618121,-0.288590652,-0.696743793,0.084346756,-0.00801967,-0.514717476,-0.330399389,-0.034797714,0.022713866
427,0.175882693,-0.024957577,-0.354753236,-0.048075086,0.109946624,0.098707908,0.096378598,0.285708508,0.017963215,0.057404446,-0.22737078,0.176061387,-0.437795413,-0.071903304
5898,-0.126948511,-0.227172072,-0.317997413,-0.468451661,0.000254839,-0.133916192,0.07071339,-0.014231893,-0.305581338,-0.478356387,-0.380206338,-0.908021029,-0.312791458,-0.068791033
23365,0.217279191,0.135790254,-0.337233776,-0.308037364,0.14872034,0.099359313,0.09144581,-0.425926621,0.08916344,0.114523433,0.57146136,0.242193344,0.228156067,-0.095371701
6657,0.144176541,0.141292987,0.180778849,-0.547923403,-0.014217857,0.047052308,-0.013757907,-0.506726684,0.118607897,0.208423936,-0.704559511,-0.141072969,0.532104321,-0.037970724
5054,-0.110904086,-0.199023594,0.083404692,-0.155243769,0.137216677,0.032810241,0.138328271,0.141657331,0.020213222,-0.226593895,0.602814732,-0.068870075,-0.212076486,0.012736001
3108,-0.015089541,0.043322351,0.851460933,0.089577356,-0.068402468,-0.006316192,-0.001984726,-0.168636014,0.065214812,0.119940665,0.313553535,1.790873088,0.698310581,0.133329252
1950,0.031547341,0.154221867,-0.099043882,-0.376394913,0.077981709,0.119194412,-0.048223074,0.018865375,0.240336997,0.218717975,0.184818341,-0.46795603,-0.318293787,0.005348458
9517,-0.107916795,-0.01783942,1.925344409,0.010548272,-0.086038254,-0.078001075,-0.006386788,-0.071376757,0.037307236,-0.117166868,2.454254063,0.069177927,0.408096693,0.184023703
351,0.016626573,-0.221349779,0.362848284,0.11029714,-0.272900238,-0.12397094,-0.224542584,-0.10373451,-0.116597769,-0.04594304,-0.545045643,-1.003370767,-0.986078098,-0.118820418
25987,0.05723843,-0.157524251,-0.16577991,0.403782814,-0.004113309,-0.07021055,-0.120453819,0.665614848,-0.189931354,-0.012092381,0.486037039,0.321959066,0.896598786,0.044383308
23670,-0.181240218,0.011314603,0.021574267,0.12784358,0.016525462,-0.044792289,-0.170536003,-0.134196709,0.034850167,-0.019480657,0.618679276,0.587105267,0.024610669,-0.117526693
4846,0.056652973,0.037709033,0.100180915,0.513504788,0.296836823,0.084430155,0.369854004,0.573380602,0.040653574,0.163456005,-0.289627282,0.215767083,0.327112458,0.204472654
1452,-0.085479593,-0.393662701,-0.533329446,-0.635018534,0.021900542,-0.063610701,-0.001698153,0.058365733,-0.185059442,-0.278768576,-0.203578237,0.192853264,0.057156277,-0.128785325
4776,0.17117346,0.044300787,0.6309259,-0.507161972,0.061930563,0.124715181,0.214547708,-0.057626873,0.072254181,0.23517253,-0.290124987,-0.343987723,-0.31198736,0.015094611
6908,-0.040099731,0.100631251,-0.735562133,0.132433275,0.140690478,-0.011048027,-0.020474666,0.19301007,0.059254118,-0.094725644,0.356736291,0.669180682,0.281722544,0.148402256
11182,0.054562638,-0.186159891,0.416476771,-0.340336395,0.26310534,-0.067567835,0.155375288,-0.289118738,-0.297464973,-0.131806978,0.584539955,-0.403627142,0.142882219,-0.214019563
2146,-0.087306217,-0.009173998,-0.479394009,0.1810893,0.103404301,-0.114004212,-0.243095428,0.037368081,0.015428819,0.014908598,0.536606963,-0.074838581,0.212932624,0.088287785
3385,-0.001844393,0.075549178,0.52069694,0.398377739,-0.108916304,0.048926004,-0.320327547,0.460464292,-0.044777582,-0.142958271,0.895811581,0.70327358,0.687194577,0.278135139
672,-0.137780783,-0.134025851,0.246920309,0.073083084,0.107004005,-0.014567436,-0.393659845,0.042526326,0.030950922,0.016963197,0.067205285,0.365013412,-0.162242334,0.207411999
5710,-0.13350758,-0.273982393,-0.08969775,0.048647892,-0.038231009,-0.073322347,-0.014910974,0.074520629,-0.281485779,-0.210080728,0.585676302,0.370713208,0.155625033,-0.00563446
5261,0.155701577,0.024587102,0.653458059,-0.223740534,0.303922614,0.213360504,0.10974424,-0.376040805,-0.104687243,0.201647319,-0.443432685,-0.258901097,-0.129851165,0.114610625
2115,0.103206645,0.064150099,-0.218767918,-0.204539333,0.047640932,0.122689107,-0.082252808,-0.12518928,0.002481062,0.061871525,0.454857172,0.811526879,-0.216979379,0.031148857
10765,0.026397256,0.050063593,-0.29904478,-0.470497848,0.193538226,0.106355196,-0.205213178,-0.507868746,-0.10580276,0.208522277,1.026221817,0.083760707,-0.319612474,0.001003248
25839,-0.224519278,-0.343498829,-0.578273517,0.211590514,-0.366723064,-0.106468913,-0.135633174,0.021979052,-0.161303548,-0.211589225,0.440561618,0.243536751,0.466778188,0.163681032
4172,0.124225211,0.114827178,-0.304649895,-0.127203953,0.132883195,-0.039031371,0.028741842,0.015459432,0.109398086,0.037893905,-0.016893332,-0.50016883,0.442762581,0.141265263
7015,0.124455159,0.009206007,0.421838872,-0.432611384,0.062565089,0.130917956,-0.043364773,-0.109219289,0.116465172,0.227291447,-0.538757495,-0.530518933,-0.117196535,0.000720359
23161,0.171373711,-0.015142096,0.250275297,-0.220492935,0.142293568,0.10860753,-0.039251653,-0.05583354,0.051705317,0.178015285,-0.458334083,-0.297523695,-0.497384921,-0.091913852
10298,-0.045965838,-0.114902049,-0.382280891,0.457092739,0.205995034,-0.008816075,0.272770402,-0.130033609,-0.009668955,0.091013545,0.663243692,-0.235912943,0.556056582,-0.126378736
1802,-0.187755828,-0.129638556,0.210291716,0.534574827,0.123008338,-0.041294094,-0.029187257,0.151601332,-0.00767085,0.061025941,0.640436057,0.252303639,0.670622651,0.365529107
