,drug_row,drug_col,cell_line_name,drug_row_cid,drug_col_cid,synergy_zip,synergy_bliss,synergy_loewe,synergy_hsa,S,label
1,5-FU,ABT-888,A375,3385,11960529,-0.148907771,1.083539986,-20.95011656,-2.137572893,19.21375,NA
2,AZD1775,ABT-888,A375,24856436,11960529,6.657356354,6.677769458,-45.98486266,3.896545757,18.034375,NA
3,BORTEZOMIB,ABT-888,A375,387447,11960529,2.631290542,1.52754648,-56.75364545,-0.552609568,17.09175,NA
4,DASATINIB,ABT-888,A375,3062316,11960529,3.203603403,4.705352719,-33.24511804,1.705497857,21.759875,NA
5,DEXAMETHASONE,ABT-888,A375,5743,11960529,5.910525532,9.594765279,5.410245909,5.203283142,6.68625,Synergy
6,ETOPOSIDE,ABT-888,A375,36462,11960529,4.258579995,2.72896145,-32.65953819,0.434215857,11.63775,NA
7,LAPATINIB,ABT-888,A375,208908,11960529,1.259046325,-1.799161372,-4.528789274,-5.354700017,0.765125,NA
8,METFORMIN,ABT-888,A375,4091,11960529,2.092428241,-3.159695098,-6.867148468,-6.823981599,-2.649,NA
9,MK-2206,ABT-888,A375,24964624,11960529,9.724049015,9.581372003,7.208317387,5.939781018,2.92325,Synergy
10,MK-5108,ABT-888,A375,24748204,11960529,6.967585419,15.52004004,6.519880109,11.83748368,14.7395,Synergy
11,PD325901,ABT-888,A375,9826528,11960529,3.032142302,1.456699919,-24.54319127,-0.368903518,-5.137125,NA
12,TEMOZOLOMIDE,ABT-888,A375,5394,11960529,18.37277531,16.88460241,13.23192929,13.52256995,21.637375,Synergy
13,ZOLINZA,ABT-888,A375,5311,11960529,1.590447558,-1.398557483,-42.69770331,-4.193311143,33.239125,NA
14,5-FU,AZD1775,A375,3385,24856436,4.6773789,3.760816297,-0.840317399,7.146155604,33.5915,NA
15,DEXAMETHASONE,AZD1775,A375,5743,24856436,6.028306382,6.700475107,-46.31050364,3.581128869,16.843875,NA
16,ETOPOSIDE,AZD1775,A375,36462,24856436,6.334668505,6.389252696,7.810534856,12.51408974,9.135125,Synergy
17,METFORMIN,AZD1775,A375,4091,24856436,5.111845019,4.332219708,-32.00067046,4.761615279,19.720125,NA
18,TEMOZOLOMIDE,AZD1775,A375,5394,24856436,6.507941269,7.567123303,-9.447405864,9.754797977,24.484875,NA
19,ZOLINZA,AZD1775,A375,5311,24856436,9.780321074,8.715178694,7.228376736,12.17523573,47.670875,Synergy
20,5-FU,BEZ-235,A375,3385,11977753,3.695858656,2.280654718,0.373291262,5.746658193,19.712125,Synergy
21,ABT-888,BEZ-235,A375,11960529,11977753,13.66542985,13.1902702,-29.69790992,10.92664084,18.935125,NA
22,AZD1775,BEZ-235,A375,24856436,11977753,16.41628758,15.48664672,16.45265624,21.39086249,22.302125,Synergy
23,BORTEZOMIB,BEZ-235,A375,387447,11977753,4.968270481,4.747786556,4.735000067,6.86092696,4.2995,Synergy
24,DASATINIB,BEZ-235,A375,3062316,11977753,12.69625614,12.55056453,14.35445463,17.73672558,21.867375,Synergy
25,DEXAMETHASONE,BEZ-235,A375,5743,11977753,7.467289334,5.930575464,-37.23275368,3.391797094,15.756875,NA
26,ETOPOSIDE,BEZ-235,A375,36462,11977753,5.283625236,4.527633893,8.306352442,11.52755985,-3.553625,Synergy
27,GELDANAMYCIN,BEZ-235,A375,5288382,11977753,6.117280263,4.786918002,6.927107223,10.31731945,4.6735,Synergy
28,LAPATINIB,BEZ-235,A375,208908,11977753,7.942587938,7.18751426,-18.79754784,8.944114551,13.05175,NA
29,METFORMIN,BEZ-235,A375,4091,11977753,6.577860748,5.35153972,-35.94312573,5.759500219,11.570125,NA
30,MK-2206,BEZ-235,A375,24964624,11977753,15.23152152,13.19451438,-20.42290111,13.77320665,17.017625,NA
31,MK-5108,BEZ-235,A375,24748204,11977753,8.007533834,8.974582107,-14.6641136,9.030606047,14.5925,NA
32,PD325901,BEZ-235,A375,9826528,11977753,-1.528977907,-2.229301335,4.253916387,6.815866897,-26.884625,NA
33,TEMOZOLOMIDE,BEZ-235,A375,5394,11977753,10.13687649,10.14387366,1.098948063,12.26018099,16.759875,Synergy
34,ZOLINZA,BEZ-235,A375,5311,11977753,2.938271635,0.61971244,1.416645465,4.731177765,22.078125,Synergy
35,5-FU,BORTEZOMIB,A375,3385,387447,0.822089895,-1.236087724,-12.99342314,-0.725533554,23.04225,NA
36,AZD1775,BORTEZOMIB,A375,24856436,387447,1.736691433,0.679508387,-1.188661069,1.952174209,11.173875,NA
37,DEXAMETHASONE,BORTEZOMIB,A375,5743,387447,3.349255159,2.704645259,-55.83020892,0.371598544,18.416,NA
38,ETOPOSIDE,BORTEZOMIB,A375,36462,387447,0.034854173,-0.718944867,-1.892581919,1.212654294,-4.856875,NA
39,LAPATINIB,BORTEZOMIB,A375,208908,387447,3.223131576,-0.91254493,-42.95161222,-0.981386179,20.218,NA
40,METFORMIN,BORTEZOMIB,A375,4091,387447,-0.526199012,-2.358130719,-8.675001915,-2.615378531,5.1785,Antagonism
41,MK-2206,BORTEZOMIB,A375,24964624,387447,1.162117197,0.967969477,-42.19452421,0.75004184,11.652,NA
42,MK-5108,BORTEZOMIB,A375,24748204,387447,-0.430312777,-2.585302788,-34.1094224,-3.503905866,1.834,Antagonism
43,PD325901,BORTEZOMIB,A375,9826528,387447,-1.474512719,-2.479742549,-5.798115234,0.448543321,-26.93075,NA
44,TEMOZOLOMIDE,BORTEZOMIB,A375,5394,387447,0.147183165,-1.298629793,-24.35096275,-1.086680853,6.245375,NA
45,ZOLINZA,BORTEZOMIB,A375,5311,387447,3.285146865,2.587419137,-1.993310846,3.680789544,33.888625,NA
46,5-FU,DASATINIB,A375,3385,3062316,0.519718847,0.986154274,-1.53364306,4.340409916,38.52525,NA
47,AZD1775,DASATINIB,A375,24856436,3062316,19.85316682,19.64548336,19.815025,24.64067255,44.9589375,Synergy
48,BORTEZOMIB,DASATINIB,A375,387447,3062316,-1.073757197,-0.713756092,-3.03091049,0.179811941,14.682375,NA
49,DEXAMETHASONE,DASATINIB,A375,5743,3062316,17.33236939,18.91049769,-19.46901898,15.54594035,35.808875,NA
50,ETOPOSIDE,DASATINIB,A375,36462,3062316,5.203752056,5.199337063,7.383376187,11.00056925,19.83025,Synergy
51,LAPATINIB,DASATINIB,A375,208908,3062316,-2.712639836,-5.509445435,-15.99158254,-3.167165387,18.347,Antagonism
52,METFORMIN,DASATINIB,A375,4091,3062316,-2.622625888,-3.007090945,-57.14482002,-2.472219155,17.72325,Antagonism
53,MK-2206,DASATINIB,A375,24964624,3062316,18.86326005,19.04784799,2.899639887,19.84491473,32.130875,Synergy
54,MK-5108,DASATINIB,A375,24748204,3062316,2.537439265,6.991546834,-2.262037462,6.983556565,25.701375,NA
55,PD325901,DASATINIB,A375,9826528,3062316,7.861991111,6.540349145,10.47168496,13.14292952,-1.0285,Synergy
56,TEMOZOLOMIDE,DASATINIB,A375,5394,3062316,-4.094877353,0.149191608,-13.99646779,1.94786971,22.4755,NA
57,ZOLINZA,DASATINIB,A375,5311,3062316,-4.071676236,-5.76517809,-7.187555809,-2.443728274,35.116125,Antagonism
58,5-FU,DINACICLIB,A375,3385,46926350,3.187313504,4.188030033,-9.210846467,4.937813946,29.70825,NA
